ParkID,ACTIVITY
Spring_Creek_Hatchery,INTERP 
Squak_Mountain,BIRD
Squak_Mountain,HIKING
Squak_Mountain,HORSE
Squilchuck,CAMPING
Squilchuck,BEACH
Squilchuck,HIKING
Squilchuck,BIKING
Squilchuck,CCSKIING
Steamboat_Rock,CAMPING
Steamboat_Rock,BIRD
Steamboat_Rock,BOATING
Steamboat_Rock,FISHING
Steamboat_Rock,SCUBA
Steamboat_Rock,SWIMMING
Steamboat_Rock,WSKIING
Steamboat_Rock,PLAYGROUND
Steamboat_Rock,HIKING
Steamboat_Rock,BIKING
Steamboat_Rock,HORSE
Steamboat_Rock,CCSIING
Steptoe_Battlefield,VTOUR
Stuart_Island,CAMPING
Stuart_Island,BEACH
Stuart_Island,BIRD
Stuart_Island,BOATING
Stuart_Island,FISHING
Stuart_Island,SCUBA
Stuart_Island,SWIMMING
Stuart_Island,HIKING
Sucia_Island,CAMPING
Sucia_Island,BEACH
Sucia_Island,BIRD
Sucia_Island,BOATING
Sucia_Island,FISHING
Sucia_Island,SCUBA
Sucia_Island,HIKING
Sun_Lakes,CAMPING
Sun_Lakes,BIRD
Sun_Lakes,BOATING
Sun_Lakes,FISHING
Sun_Lakes,INTERP
Sun_Lakes,SCUBA
Sun_Lakes,SWIMMING
Sun_Lakes,WSKIING
Sun_Lakes,PLAYGROUND
Sun_Lakes,HIKING
Sun_Lakes,BIKING
Sun_Lakes,CCSKIING
Sun_Lakes,VTOUR
Tolmie,BEACH
Tolmie,BIRD
Tolmie,BOATING
Tolmie,FISHING
Tolmie,SCUBA
Tolmie,SWIMMING
Tolmie,HIKING
Tolmie,VTOUR
Triton_Cove,BIRD
Triton_Cove,BOATING_NM
Triton_Cove,FISHING
Turn_Island,CAMPING
Turn_Island,BEACH
Turn_Island,BIRD
Turn_Island,BOATING
Turn_Island,FISHING
Turn_Island,SCUBA
Turn_Island,SWIMMING
Turn_Island,WSKIING
Turn_Island,PLAYGROUND
Turn_Island,HIKING
Twanoh,CAMPING
Twanoh,BEACH
Twanoh,BIRD
Twanoh,BALL
Twanoh,BOATING
Twanoh,FISHING
Twanoh,SCUBA
Twanoh,SWIMMING
Twanoh,WSKIING
Twanoh,HIKING
Twenty_Five_Mile_Creek,CAMPING
Twenty_Five_Mile_Creek,BIRD
Twenty_Five_Mile_Creek,BOATING
Twenty_Five_Mile_Creek,FISHING
Twenty_Five_Mile_Creek,SWIMMING
Twenty_Five_Mile_Creek,WSKIING
